Identifier,Type,MaxFreq,MinFreq,MeanFreq,StartingFreq,EndingFreq,Length,latitude,longitude
NP0311,A,6560,2080,4320,6560,2080,1.03,20.305728,-103.18065
NP0342,A,5440,2240,3840,5440,2240,1.16,20.305728,-103.18065
NP0945,E,5280,2160,3720,4320,2160,1.1,18.951352,-95.97934
XC230117,A,4511,1654,3082.5,4511,1654,1.05,19.16666667,-99.33333333
XC379528,A,5648,1526,3587,3893,1526,1.43,19.314,-99.5098
XC130571,E,7245,2254,4749.5,7245,2254,1.39,27.5597,-81.0127
XC13800,E,4725,2900,3812.5,5950,3200,1.27,40.37554,-105.11498
XC139962,E,5795,2078,3936.5,3086,2078,1.09,27.9639,-81.0339
XC144089,E,7271,2111,4691,4222,2580,1.38,35.5984,-83.8098
XC163993,E,7716,2125,4920.5,3070,2125,1.53,28.229,-80.813
XC164058,E,8110,2834,5472,3858,3543,1.65,42.7963,-70.8422
XC164065,E,6771,2519,4645,2834,3307,1.35,36.8461,-96.4229
XC172959,E,6614,2755,4684.5,4724,2755,1.296,40.1011,-105.2783
XC179181,E,6395,2610,4502.5,3654,2871,1.47,34.7947,-83.8823
XC230110,E,8333,2777,5555,4985,4035,1.35,22.26666667,-97.91666667
XC311866,E,8507,2951,5729,3800,3000,1.55,30.29,-92.898
XC320443,E,7795,2992,5393.5,4330,3543,1.52,44.8591,-92.7919
XC320477,E,6614,2992,4803,4960,3543,1.05,44.8591,-92.7919
XC320486,E,5118,2913,4015.5,5118,3464,1.19,44.8591,-92.7919
XC360824,E,6141,2283,4212,3700,2283,1.13,27.5597,-81.0127
XC368636,E,6422,2926,4674,4308,6422,1.51,39.8224,-104.8577
XC370243,E,5440,2720,4080,3040,3600,1.18,38.4716,-98.6727
XC370382,E,8217,2945,5581,4108,4263,1.2,38.4314,-96.5608
XC370493,E,5968,3333,4650.5,4031,4031,1.34,39.107,-96.6085
XC403845,E,5322,2822,4072,3951,3548,1.38,35.8195,-75.5628
XC416546,E,8071,2136,5103.5,4194,2136,1.37,29.592,-94.5562
XC453031,E,5950,2519,4234.5,3388,2519,1.18,26.0241,-97.4098
XC465730,E,6800,2880,4840,3762,3267,1.44,40.8918,-91.0756
XC466335,E,6535,3228,4881.5,3700,3779,1.38,40.8918,-91.0756
XC468589,E,5200,2160,3680,3760,3040,1.32,27.8256,-80.708
XC4899163,E,6377,2519,4448,3307,2519,1.44,40.8922,-104.9243
XC52428,E,6945,2204,4574.5,4900,2204,1.32,35.954,-83.849
ML146804,L,4511,1954,3232.5,4511,2330,1.07,30.9767,-104.18
ML172451,L,5669,1417,3543,3937,2362,1.38,31.8935,-109.1669
ML56852,L,5263,1804,3533.5,3984,1804,1.32,31.760913,-110.845335
NP1330,L,5693,1770,3731.5,3445,1770,1.46,32.139231,-109.846669
NP1331,L,5276,1881,3578.5,5276,1881,1.45,32.139231,-109.846669
NP1334,L,6080,2320,4200,6080,2320,1.27,32.064644,-109.762628
NP1335,L,5600,2240,3920,5600,2240,1.27,32.064644,-109.762628
NP1513,L,7040,1920,4480,6000,1920,1.14,32.139231,-109.846669
NP1518,L,6800,2680,4740,6800,3040,1.08,32.139231,-109.846669
XC163988,L,4511,1954,3232.5,3759,1954,1.13,31.6929,-110.5204
XC163989,L,5642,2142,3892,3500,3000,1.56,31.4554,-110.6481
XC163997,L,4409,2204,3306.5,3543,2362,1.49,30.6271,-104.2764
XC230111,L,5729,1770,3749.5,5729,1770,1.9,31.5668,-109.7217
XC321339,L,4210,2030,3120,5037,2030,1.29,34.3234,-104.1584
XC321834,L,5618,1820,3719,5618,2130,1.34,31.864,-109.047
XC321838,L,5704,2602,4153,5704,2922,1.2,31.864,-109.047
XC371791,L,7920,2720,5320,6320,2720,1.32,25.7581,-98.7098
XC375065,L,5440,2320,3880,2720,2320,1.35,33.8062,-106.8787
XC415789,L,5037,1804,3420.5,5037,1804,1.27,30.323,-103.7428
XC451433,L,4360,1654,3007,3383,2105,1.21,31.7141,-110.6055
XC490755,L,5196,1889,3542.5,5196,1886,1.24,25.7324,-109.0271
XC492292,L,5187,1578,3382.5,4887,1578,1.3,31.7721,-110.6565
JB1017,L,5354,2125,3739.5,5354,2125,1.02,31.864799,-109.049083
JB1018,L,5193,1937,3565,5193,1937,1.08,31.864799,-109.049083
JB1022,L,4780,2061,3420.5,4780,2061,1.15,31.864799,-109.049083
JB1023,L,5162,2000,3581,4790,2139,1.19,31.864799,-109.049083
XC368591,W,3383,751,2067,2583,751,1.3,40.6595,-104.3516
XC368644,W,4360,1278,2819,3233,1278,1.38,39.6428,-102.1585
XC370746,W,4285,1503,2894,3007,2330,1.31,33.9053,-106.8681
XC473804,W,4210,902,2556,2706,902,1.61,36.72,-102.5354
XC482210,W,4360,1203,2781.5,2857,1203,1.63,41.7539,-115.1074
XC500166,W,4135,827,2481,2105,827,1.68,48.4182,-106.4554
XC509569,W,6022,909,3465.5,3455,909,1.68,33.0461,-116.9362
XC477781,W,3616,1160,2388,2363,2545,1.27,41.6372,-118.6945
XC467104,W,5118,1181,3149.5,3262,1496,1.08,38.5441,-121.8544
XC466361,W,3622,866,2244,1653,1732,1.01,40.9006,-91.0928
XC465605,W,5811,683,3247,2480,2248,1.71,34.9808,-106.677
XC453905,W,4330,944,2637,2519,944,1.68,31.9387,-105.2013
XC453337,W,5669,787,3228,3070,1653,1.37,33.0461,-116.9362
XC442212,W,4803,787,2795,1417,2047,1.53,41.6927,-121.548
XC420263,W,5116,1007,3061.5,3720,2248,1.53,39.1778,-114.389
XC416307,W,6434,930,3682,3643,930,1.37,47.3815,-114.0322
XC398813,W,5813,1627,3720,2248,3488,1.36,25.1137,-101.093
XC407866,W,6377,1496,3936.5,3149,1496,1.52,35.5914,-106.0253
XC371788,W,5503,1317,3410,2170,3720,1.43,25.0202,-100.5896
XC362531,W,4806,775,2790.5,3333,1705,1.62,39.309,-108.998
XC361852,W,5426,1395,3410.5,3023,3875,1.64,38.8351,-107.9574
XC357087,W,4960,1181,3070.5,2283,1181,1.54,30.7795,-91.6116
XC337363,W,5275,1181,3228,3464,1181,1.69,29.1834,-108.1226
XC306749,W,4961,1240,3100.5,1705,1240,1.54,34.6562,-90.2743
XC254455,W,5826,1732,3779,3937,1732,1.18,43.6651,-103.3862
XC234211,W,6589,1162,3875.5,3333,2713,1.28,40.0215,-105.0941
XC482953,W,6589,1317,3953,3410,2713,1.29,41.7797,-115.1471